experiment_id	id
Chromosome	xy05_117_14.234-18.234
Chromosome	xy05_118_10.215-19.264
Chromosome	xy05_119_10.228-19.266
Chromosome	xy05_12_10.021-34.029
Chromosome	xy05_12_11.027-20.021
Chromosome	xy05_12_12.052-20.065
Chromosome	xy05_12_13.048-17.049
Chromosome	xy05_12_14.023-18.034
Chromosome	xy05_120_10.001-18.010
Chromosome	xy05_120_15.001-17.005
Chromosome	xy05_121_10.028-18.013
Chromosome	xy05_122_10.003-18.020
Chromosome	xy05_123_10.042-18.028
Chromosome	xy05_124_10.051-18.058
Chromosome	xy05_125_10.062-18.083
Chromosome	xy05_126_10.071-18.084
Chromosome	xy05_127_10.095-18.099
Chromosome	xy05_128_10.200-18.207
Chromosome	xy05_128_15.233-17.243
Chromosome	xy05_129_10.187-18.226
Chromosome	xy05_13_10.149-34.042
Chromosome	xy05_13_14.143-29.028
Chromosome	xy05_130_10.183-18.246
Chromosome	xy05_131_10.205-18.260
Chromosome	xy05_132_10.214-18.284
Chromosome	xy05_132_13.263-17.305
Chromosome	xy05_133_10.243-18.291
Chromosome	xy05_134_10.222-18.293
Chromosome	xy05_135_10.249-18.298
Chromosome	xy05_136_10.005-17.012
Chromosome	xy05_137_10.014-17.015
Chromosome	xy05_138_10.123-17.146
Chromosome	xy05_139_10.124-17.153
Chromosome	xy05_139_14.154-17.154
Chromosome	xy05_14_10.126-34.047
Chromosome	xy05_140_10.168-17.177
Chromosome	xy05_141_10.152-17.205
Chromosome	xy05_142_10.180-17.206
Chromosome	xy05_143_10.205-17.252
Chromosome	xy05_143_12.256-17.254
Chromosome	xy05_144_10.176-17.280
Chromosome	xy05_145_10.235-17.300
Chromosome	xy05_146_10.223-17.302
Chromosome	xy05_147_10.224-17.306
Chromosome	xy05_15_10.099-34.051
Chromosome	xy05_15_11.109-24.072
Chromosome	xy05_15_14.119-22.014
Chromosome	xy05_15_15.119-19.069
Chromosome	xy05_16_10.138-34.056
Chromosome	xy05_16_11.149-24.073
Chromosome	xy05_17_10.159-34.060
Chromosome	xy05_17_12.184-34.146
Chromosome	xy05_18_10.134-34.072
Chromosome	xy05_18_11.140-34.180
Chromosome	xy05_18_15.135-20.075
Chromosome	xy05_19_10.165-34.078
Chromosome	xy05_19_13.191-34.195
Chromosome	xy05_2_10.030-34.001
Chromosome	xy05_2_14.052-23.001
Chromosome	xy05_2_15.044-20.013
Chromosome	xy05_2_15.065-20.041
Chromosome	xy05_20_10.123-34.080
Chromosome	xy05_21_10.097-34.081
Chromosome	xy05_22_10.175-34.109
Chromosome	xy05_23_10.142-34.129
Chromosome	xy05_23_11.144-34.173
Chromosome	xy05_23_15.182-17.183
Chromosome	xy05_24_10.220-34.138
Chromosome	xy05_24_15.248-34.269
Chromosome	xy05_25_10.196-34.143
Chromosome	xy05_25_13.225-34.283
Chromosome	xy05_25_14.224-22.098
Chromosome	xy05_25_15.259-27.248
Chromosome	xy05_26_10.153-34.145
Chromosome	xy05_26_14.151-22.074
Chromosome	xy05_27_10.162-34.147
Chromosome	xy05_27_15.211-20.173
Chromosome	xy05_28_10.120-34.148
Chromosome	xy05_29_10.166-34.150
Chromosome	xy05_3_10.079-34.004
Chromosome	xy05_3_12.091-21.031
Chromosome	xy05_3_13.080-20.057
Chromosome	xy05_30_10.184-34.152
Chromosome	xy05_30_13.203-34.229
Chromosome	xy05_31_10.082-34.153
Chromosome	xy05_32_10.108-34.166
Chromosome	xy05_32_13.114-20.072
Chromosome	xy05_33_10.173-34.168
Chromosome	xy05_33_11.208-18.274
Chromosome	xy05_33_11.208-20.208
Chromosome	xy05_33_11.208-24.135
Chromosome	xy05_33_13.229-21.150
Chromosome	xy05_33_14.252-18.239
Chromosome	xy05_34_10.226-34.169
Chromosome	xy05_34_12.269-20.251
Chromosome	xy05_34_14.230-21.149
Chromosome	xy05_34_15.256-27.124
Chromosome	xy05_35_10.213-34.175
Chromosome	xy05_35_14.280-18.282
Chromosome	xy05_35_14.280-20.238
Chromosome	xy05_35_15.301-18.294
Chromosome	xy05_36_10.144-34.183
Chromosome	xy05_36_11.146-17.233
Chromosome	xy05_36_13.165-21.105
Chromosome	xy05_36_13.165-34.190
Chromosome	xy05_37_10.200-34.196
Chromosome	xy05_38_10.169-34.201
Chromosome	xy05_38_14.204-21.125
Chromosome	xy05_39_10.156-34.208
Chromosome	xy05_39_11.165-20.167
Chromosome	xy05_4_10.060-34.013
Chromosome	xy05_4_11.063-34.069
Chromosome	xy05_4_14.063-21.013
Chromosome	xy05_40_10.201-34.213
Chromosome	xy05_40_13.228-34.227
Chromosome	xy05_40_14.243-26.215
Chromosome	xy05_41_10.171-34.218
Chromosome	xy05_41_15.217-21.147
Chromosome	xy05_42_10.143-34.219
Chromosome	xy05_43_10.181-34.242
Chromosome	xy05_43_14.221-19.221
Chromosome	xy05_43_15.240-34.266
Chromosome	xy05_44_10.217-34.282
Chromosome	xy05_44_11.224-24.129
Chromosome	xy05_45_10.195-34.284
Chromosome	xy05_45_11.207-18.230
Chromosome	xy05_45_12.252-17.234
Chromosome	xy05_45_15.249-17.260
Chromosome	xy05_45_15.268-19.252
Chromosome	xy05_46_10.225-34.291
Chromosome	xy05_46_12.300-20.240
Chromosome	xy05_46_13.298-17.309
Chromosome	xy05_46_15.309-17.317
Chromosome	xy05_46_15.311-19.253
Chromosome	xy05_47_10.215-34.298
Chromosome	xy05_47_11.221-17.316
Chromosome	xy05_47_11.221-22.137
Chromosome	xy05_47_12.288-21.173
Chromosome	xy05_47_13.222-21.167
Chromosome	xy05_48_10.111-33.033
Chromosome	xy05_49_10.191-33.089
Chromosome	xy05_5_10.094-34.016
Chromosome	xy05_5_11.089-19.051
Chromosome	xy05_5_13.087-17.096
Chromosome	xy05_50_10.149-32.078
Chromosome	xy05_51_10.208-31.237
Chromosome	xy05_52_10.084-30.057
Chromosome	xy05_52_11.087-21.061
Chromosome	xy05_52_12.110-19.081
