time,sigma,variable,value,μ
276.87687687687685,1.0,Dead,1.0,25.0
277.17717717717716,1.0,Dead,1.0,25.0
277.47747747747746,1.0,Dead,1.0,25.0
277.77777777777777,1.0,Dead,1.0,25.0
278.0780780780781,1.0,Dead,1.0,25.0
278.3783783783784,1.0,Dead,1.0,25.0
278.6786786786787,1.0,Dead,1.0,25.0
278.978978978979,1.0,Dead,1.0,25.0
279.27927927927925,1.0,Dead,1.0,25.0
279.57957957957956,1.0,Dead,1.0,25.0
279.87987987987987,1.0,Dead,1.0,25.0
280.1801801801802,1.0,Dead,1.0,25.0
280.4804804804805,1.0,Dead,1.0,25.0
280.7807807807808,1.0,Dead,1.0,25.0
281.0810810810811,1.0,Dead,1.0,25.0
281.3813813813814,1.0,Dead,1.0,25.0
281.6816816816817,1.0,Dead,1.0,25.0
281.98198198198196,1.0,Dead,1.0,25.0
282.28228228228227,1.0,Dead,1.0,25.0
282.5825825825826,1.0,Dead,1.0,25.0
282.8828828828829,1.0,Dead,1.0,25.0
283.1831831831832,1.0,Dead,1.0,25.0
283.4834834834835,1.0,Dead,1.0,25.0
283.7837837837838,1.0,Dead,1.0,25.0
284.0840840840841,1.0,Dead,1.0,25.0
284.38438438438436,1.0,Dead,1.0,25.0
284.68468468468467,1.0,Dead,1.0,25.0
284.984984984985,1.0,Dead,1.0,25.0
285.2852852852853,1.0,Dead,1.0,25.0
285.5855855855856,1.0,Dead,1.0,25.0
285.8858858858859,1.0,Dead,1.0,25.0
286.1861861861862,1.0,Dead,1.0,25.0
286.4864864864865,1.0,Dead,1.0,25.0
286.78678678678676,1.0,Dead,1.0,25.0
287.08708708708707,1.0,Dead,1.0,25.0
287.3873873873874,1.0,Dead,1.0,25.0
287.6876876876877,1.0,Dead,1.0,25.0
287.987987987988,1.0,Dead,1.0,25.0
288.2882882882883,1.0,Dead,1.0,25.0
288.5885885885886,1.0,Dead,1.0,25.0
288.8888888888889,1.0,Dead,1.0,25.0
289.18918918918916,1.0,Dead,1.0,25.0
289.4894894894895,1.0,Dead,1.0,25.0
289.7897897897898,1.0,Dead,1.0,25.0
290.0900900900901,1.0,Dead,1.0,25.0
290.3903903903904,1.0,Dead,1.0,25.0
290.6906906906907,1.0,Dead,1.0,25.0
290.990990990991,1.0,Dead,1.0,25.0
291.2912912912913,1.0,Dead,1.0,25.0
291.59159159159157,1.0,Dead,1.0,25.0
291.8918918918919,1.0,Dead,1.0,25.0
292.1921921921922,1.0,Dead,1.0,25.0
292.4924924924925,1.0,Dead,1.0,25.0
292.7927927927928,1.0,Dead,1.0,25.0
293.0930930930931,1.0,Dead,1.0,25.0
293.3933933933934,1.0,Dead,1.0,25.0
293.6936936936937,1.0,Dead,1.0,25.0
293.99399399399397,1.0,Dead,1.0,25.0
294.2942942942943,1.0,Dead,1.0,25.0
294.5945945945946,1.0,Dead,1.0,25.0
294.8948948948949,1.0,Dead,1.0,25.0
295.1951951951952,1.0,Dead,1.0,25.0
295.4954954954955,1.0,Dead,1.0,25.0
295.7957957957958,1.0,Dead,1.0,25.0
296.0960960960961,1.0,Dead,1.0,25.0
296.39639639639637,1.0,Dead,1.0,25.0
296.6966966966967,1.0,Dead,1.0,25.0
296.996996996997,1.0,Dead,1.0,25.0
297.2972972972973,1.0,Dead,1.0,25.0
297.5975975975976,1.0,Dead,1.0,25.0
297.8978978978979,1.0,Dead,1.0,25.0
298.1981981981982,1.0,Dead,1.0,25.0
298.4984984984985,1.0,Dead,1.0,25.0
298.79879879879877,1.0,Dead,1.0,25.0
299.0990990990991,1.0,Dead,1.0,25.0
299.3993993993994,1.0,Dead,1.0,25.0
299.6996996996997,1.0,Dead,1.0,25.0
300.0,1.0,Dead,1.0,25.0
0.0,5.0,Dead,0.0,25.0
0.3003003003003003,5.0,Dead,0.0,25.0
0.6006006006006006,5.0,Dead,0.0,25.0
0.9009009009009009,5.0,Dead,0.0,25.0
1.2012012012012012,5.0,Dead,0.0,25.0
1.5015015015015014,5.0,Dead,0.0,25.0
1.8018018018018018,5.0,Dead,0.0,25.0
2.1021021021021022,5.0,Dead,0.0,25.0
2.4024024024024024,5.0,Dead,0.0,25.0
2.7027027027027026,5.0,Dead,0.0,25.0
3.003003003003003,5.0,Dead,0.0,25.0
3.3033033033033035,5.0,Dead,0.0,25.0
3.6036036036036037,5.0,Dead,0.0,25.0
3.903903903903904,5.0,Dead,0.0,25.0
4.2042042042042045,5.0,Dead,0.0,25.0
4.504504504504505,5.0,Dead,0.0,25.0
4.804804804804805,5.0,Dead,0.0,25.0
5.105105105105105,5.0,Dead,0.0,25.0
5.405405405405405,5.0,Dead,0.0,25.0
5.7057057057057055,5.0,Dead,0.0,25.0
6.006006006006006,5.0,Dead,0.0,25.0
6.306306306306307,5.0,Dead,0.0,25.0
6.606606606606607,5.0,Dead,0.0,25.0
6.906906906906907,5.0,Dead,0.0,25.0
7.207207207207207,5.0,Dead,0.0,25.0
7.5075075075075075,5.0,Dead,0.0,25.0
7.807807807807808,5.0,Dead,0.0,25.0
8.108108108108109,5.0,Dead,0.0,25.0
8.408408408408409,5.0,Dead,0.0,25.0
8.70870870870871,5.0,Dead,0.0,25.0
9.00900900900901,5.0,Dead,0.0,25.0
9.30930930930931,5.0,Dead,0.0,25.0
9.60960960960961,5.0,Dead,0.0,25.0
9.90990990990991,5.0,Dead,0.0,25.0
10.21021021021021,5.0,Dead,0.0,25.0
10.51051051051051,5.0,Dead,0.0,25.0
10.81081081081081,5.0,Dead,0.0,25.0
11.11111111111111,5.0,Dead,0.0,25.0
11.411411411411411,5.0,Dead,0.0,25.0
11.711711711711711,5.0,Dead,0.0,25.0
12.012012012012011,5.0,Dead,0.0,25.0
12.312312312312311,5.0,Dead,0.0,25.0
12.612612612612613,5.0,Dead,0.0,25.0
12.912912912912914,5.0,Dead,0.0,25.0
13.213213213213214,5.0,Dead,0.0,25.0
13.513513513513514,5.0,Dead,0.0,25.0
13.813813813813814,5.0,Dead,0.0,25.0
14.114114114114114,5.0,Dead,0.0,25.0
14.414414414414415,5.0,Dead,0.0,25.0
14.714714714714715,5.0,Dead,0.0,25.0
15.015015015015015,5.0,Dead,0.0,25.0
15.315315315315315,5.0,Dead,0.0,25.0
15.615615615615615,5.0,Dead,0.0,25.0
15.915915915915916,5.0,Dead,0.0,25.0
16.216216216216218,5.0,Dead,0.0,25.0
16.516516516516518,5.0,Dead,0.0,25.0
16.816816816816818,5.0,Dead,0.0,25.0
17.117117117117118,5.0,Dead,0.0,25.0
17.41741741741742,5.0,Dead,0.0,25.0
17.71771771771772,5.0,Dead,0.0,25.0
18.01801801801802,5.0,Dead,0.0,25.0
18.31831831831832,5.0,Dead,0.0,25.0
18.61861861861862,5.0,Dead,0.0,25.0
18.91891891891892,5.0,Dead,0.0,25.0
19.21921921921922,5.0,Dead,0.0,25.0
19.51951951951952,5.0,Dead,0.0,25.0
19.81981981981982,5.0,Dead,0.0,25.0
20.12012012012012,5.0,Dead,0.0,25.0
20.42042042042042,5.0,Dead,0.0,25.0
20.72072072072072,5.0,Dead,0.0,25.0
21.02102102102102,5.0,Dead,0.0,25.0
21.32132132132132,5.0,Dead,0.0,25.0
21.62162162162162,5.0,Dead,0.0,25.0
21.92192192192192,5.0,Dead,0.0,25.0
22.22222222222222,5.0,Dead,0.0,25.0
22.52252252252252,5.0,Dead,0.0,25.0
22.822822822822822,5.0,Dead,0.0,25.0
23.123123123123122,5.0,Dead,0.0,25.0
23.423423423423422,5.0,Dead,0.0,25.0
23.723723723723722,5.0,Dead,0.0,25.0
24.024024024024023,5.0,Dead,0.0,25.0
24.324324324324323,5.0,Dead,0.0,25.0
24.624624624624623,5.0,Dead,0.0,25.0
24.924924924924923,5.0,Dead,0.0,25.0
25.225225225225227,5.0,Dead,0.0,25.0
25.525525525525527,5.0,Dead,0.0,25.0
25.825825825825827,5.0,Dead,0.0,25.0
26.126126126126128,5.0,Dead,0.0,25.0
26.426426426426428,5.0,Dead,0.0,25.0
26.726726726726728,5.0,Dead,0.0,25.0
27.027027027027028,5.0,Dead,0.0,25.0
27.32732732732733,5.0,Dead,0.0,25.0
27.62762762762763,5.0,Dead,0.0,25.0
27.92792792792793,5.0,Dead,0.0,25.0
28.22822822822823,5.0,Dead,0.0,25.0
28.52852852852853,5.0,Dead,0.0,25.0
28.82882882882883,5.0,Dead,0.0,25.0
29.12912912912913,5.0,Dead,0.0,25.0
29.42942942942943,5.0,Dead,0.0,25.0
29.72972972972973,5.0,Dead,0.0,25.0
30.03003003003003,5.0,Dead,0.0,25.0
30.33033033033033,5.0,Dead,0.0,25.0
30.63063063063063,5.0,Dead,0.0,25.0
30.93093093093093,5.0,Dead,0.0,25.0
31.23123123123123,5.0,Dead,0.0,25.0
31.53153153153153,5.0,Dead,0.0,25.0
31.83183183183183,5.0,Dead,0.0,25.0
32.132132132132135,5.0,Dead,0.0,25.0
32.432432432432435,5.0,Dead,0.0,25.0
32.732732732732735,5.0,Dead,0.0,25.0
33.033033033033036,5.0,Dead,0.0,25.0
33.333333333333336,5.0,Dead,0.0,25.0
33.633633633633636,5.0,Dead,0.0,25.0
33.933933933933936,5.0,Dead,0.0,25.0
34.234234234234236,5.0,Dead,0.0,25.0
34.53453453453454,5.0,Dead,0.0,25.0
34.83483483483484,5.0,Dead,0.0,25.0
35.13513513513514,5.0,Dead,0.0,25.0
35.43543543543544,5.0,Dead,0.0,25.0
35.73573573573574,5.0,Dead,0.0,25.0
36.03603603603604,5.0,Dead,0.0,25.0
36.33633633633634,5.0,Dead,0.0,25.0
36.63663663663664,5.0,Dead,0.0,25.0
36.93693693693694,5.0,Dead,0.0,25.0
37.23723723723724,5.0,Dead,0.0,25.0
37.53753753753754,5.0,Dead,0.0,25.0
37.83783783783784,5.0,Dead,0.0,25.0
38.13813813813814,5.0,Dead,0.0,25.0
38.43843843843844,5.0,Dead,0.0,25.0
38.73873873873874,5.0,Dead,0.0,25.0
39.03903903903904,5.0,Dead,0.0,25.0
39.33933933933934,5.0,Dead,0.0,25.0
39.63963963963964,5.0,Dead,0.0,25.0
39.93993993993994,5.0,Dead,0.0,25.0
40.24024024024024,5.0,Dead,0.0,25.0
40.54054054054054,5.0,Dead,0.0,25.0
40.84084084084084,5.0,Dead,0.0,25.0
41.14114114114114,5.0,Dead,0.0,25.0
41.44144144144144,5.0,Dead,0.0,25.0
41.74174174174174,5.0,Dead,0.0,25.0
42.04204204204204,5.0,Dead,0.0,25.0
42.34234234234234,5.0,Dead,0.0,25.0
42.64264264264264,5.0,Dead,0.0,25.0
42.94294294294294,5.0,Dead,0.0,25.0
43.24324324324324,5.0,Dead,0.0,25.0
43.54354354354354,5.0,Dead,0.0,25.0
43.84384384384384,5.0,Dead,0.0,25.0
44.14414414414414,5.0,Dead,0.0,25.0
44.44444444444444,5.0,Dead,0.0,25.0
44.74474474474474,5.0,Dead,0.0,25.0
45.04504504504504,5.0,Dead,0.0,25.0
45.34534534534534,5.0,Dead,0.0,25.0
45.645645645645644,5.0,Dead,0.0,25.0
45.945945945945944,5.0,Dead,0.0,25.0
46.246246246246244,5.0,Dead,0.0,25.0
46.546546546546544,5.0,Dead,0.0,25.0
46.846846846846844,5.0,Dead,0.0,25.0
47.147147147147145,5.0,Dead,0.0,25.0
47.447447447447445,5.0,Dead,0.0,25.0
47.747747747747745,5.0,Dead,0.0,25.0
48.048048048048045,5.0,Dead,0.0,25.0
48.348348348348345,5.0,Dead,0.0,25.0
48.648648648648646,5.0,Dead,0.0,25.0
48.948948948948946,5.0,Dead,0.0,25.0
49.249249249249246,5.0,Dead,0.0,25.0
49.549549549549546,5.0,Dead,0.0,25.0
49.849849849849846,5.0,Dead,0.0,25.0
50.150150150150154,5.0,Dead,0.0,25.0
50.450450450450454,5.0,Dead,0.0,25.0
